버스번호,정류장번호,정류장,막차시간,안암역->차량이동시간(오후24:00 출발 기준),택시비,거리,도보시간
1,1,매헌시민의숲.양재꽃시장,23:52,26,21234.35115,15.2,359
1,2,교육개발원입구,23:53,30,19631.29771,13.7,373
1,3,양재역.서초문화예술회관,23:54,24,19417.55725,13.5,380
1,4,뱅뱅사거리(중),23:57,28,18776.33588,12.9,391
1,5,래미안아파트.파이넨셜뉴스,23:58,27,18241.98473,12.4,398
1,6,신분당선강남역(중),23:59,25,17707.63359,11.9,405
1,7,지하철2호선강남역(중),0:03,25,16959.54198,11.2,418
1,8,신논현역.구교보타워사거리,0:06,24,16745.80153,11,425
1,9,제일약품사옥,0:07,24,17066.41221,11.3,426
1,10,서수지IC입구,0:25,40,50730.53435,42.8,36
1,11,신봉중고등학교.신봉동일하이빌4단지,0:27,42,49661.83206,41.8,20
1,12,신봉센트레빌5단지,0:27,40,50409.92366,42.5,36
1,13,신봉센트레빌1단지.광교산자이,0:28,43,50730.53435,42.8,18
1,14,LG빌리지5차,0:28,41,50409.92366,42.5,15
1,15,신봉사거리.LG자이아파트,0:29,38,47738.16794,40,12
1,16,신리초교,0:31,40,47631.29771,39.9,6
1,17,서홍마을.효성화운트빌.우남아파트,0:32,45,47096.94656,39.4,4
1,18,태영아파트,0:32,47,47417.55725,39.7,3
1,19,성복역.롯데몰.두산기술원,0:33,47,47417.55725,39.7,11
1,20,만현10단지아이파크.현대성우5차,0:34,43,46348.85496,38.7,16
1,21,원희캐슬.센트럴아이파크,0:35,43,46455.72519,38.8,22
1,22,상현1동행정복지센터.금호베스트빌,0:38,41,45280.15267,37.7,39
1,23,쌍용2차.성원3차.서원초중고,0:38,42,45600.76336,38,27
1,24,상현교차로.현대2차,0:39,42,45921.37405,38.3,47
1,25,상현마을현대2차아이파크,0:39,44,46776.33588,39.1,44
1,26,상현중학교,0:43,43,46241.98473,38.6,52
1,27,상현고등학교,0:45,45,46776.33588,39.1,60
1,28,광교지웰홈스.광교마을40단지,0:46,40,43677.09924,36.2,65
1,29,광교차고지.연화장입구,0:49,35,41539.69466,34.2,60
1,30,광교차고지,0:49,41,44104.58015,36.6,70
2,1,순천향대학병원,23:51,20,13112.21374,7.6,509
2,2,국가인권위.안중근활동터,23:55,18,11509.16031,6.1,592
2,3,을지로2가.기업은행본점.서울노동청,23:56,16,10974.80916,5.6,597
2,4,우리은행종로지점,23:58,17,11509.16031,6.1,604
2,5,조계사,0:00,17,11081.67939,5.7,614
2,6,세종문화회관,0:03,16,11722.90076,6.3,618
2,7,신한은행본점,0:07,18,12150.38168,6.7,596
2,8,서울역버스환승센터(5번승강장),0:10,21,13005.34351,7.5,592
2,9,숭례문,0:12,21,13112.21374,7.6,592
2,10,명동입구,0:16,19,12470.99237,7,601
2,11,남대문세무서,0:18,16,10867.93893,5.5,593
2,12,순천향대학병원,0:23,20,13112.21374,7.6,509
2,13,서수지IC입구,0:50,39,41325.9542,34,63
2,14,신봉중고등학교.신봉동일하이빌4단지,0:53,41,42394.65649,35,75
2,15,신봉센트레빌5단지,0:54,42,43463.35878,36,68
2,16,신봉센트레빌1단지.광교산자이,0:56,45,43463.35878,36,63
2,17,LG빌리지5차,0:57,44,44532.06107,37,55
2,18,신봉사거리.LG자이아파트,0:59,49,49875.57252,42,48
2,19,신리초교,1:00,49,49875.57252,42,46
2,20,서홍마을.효성화운트빌.우남아파트,1:01,49,48806.87023,41,41
2,21,이마트,1:02,46,47738.16794,40,36
2,22,태영.대우아파트,1:04,47,48806.87023,41,29
2,23,성복역.롯데몰.두산기술원,1:05,50,48806.87023,41,22
2,24,서원마을현대홈타운.삼성쉐르빌,1:06,52,48806.87023,41,18
2,25,현대성우5차.만현10단지아이파크,1:08,48,49875.57252,42,15
2,26,원희캐슬프라자,1:09,49,49875.57252,42,10
2,27,상현1동행정복지센터.금호베스트빌,1:11,50,53081.67939,45,4
2,28,쌍용2차.성원3차.서원초중고,1:12,51,53081.67939,45,2
2,29,상현교차로.현대2차,1:13,49,54150.38168,46,8
2,30,상현마을현대2차아이파크,1:14,49,54150.38168,46,13
2,31,상현중학교,1:16,44,45600.76336,38,19
2,32,상현고등학교,1:18,45,46669.46565,39,19
2,33,광교지웰홈스.광교마을40단지,1:19,40,53081.67939,45,23
2,34,광교차고지.연화장입구,1:22,49,53081.67939,45,39
2,35,광교차고지,1:23,49,53081.67939,45,37
3,1,신논현역,23:58,25,17066.41221,11.3,417
3,2,신분당선강남역,0:02,26,17921.37405,12.1,407
3,3,래미안아파트,0:05,27,18562.59542,12.7,398
3,4,뱅뱅사거리,0:06,28,18776.33588,12.9,391
3,5,양재역,0:09,24,19417.55725,13.5,380
3,6,교육개발원입구,0:11,30,19738.16794,13.8,373
3,7,매헌시민의숲,0:13,27,20593.12977,14.6,358
3,8,상미마을,0:34,44,49448.0916,41.6,100
3,9,경기도박물관,0:35,48,50623.66412,42.7,112
3,10,루터대학교,0:36,43,51478.62595,43.5,116
3,11,금화마을3단지,0:37,41,50944.27481,43,123
3,12,상갈역,0:37,41,51158.01527,43.2,124
3,13,금화마을4단지,0:37,48,51158.01527,43.2,121
3,14,통미마을,0:41,41,51051.14504,43.1,129
3,15,한국민속촌,0:43,48,52974.80916,44.9,144
3,16,쌍용아파트,0:44,47,53509.16031,45.4,151
3,17,지곡동입구삼거리,0:45,48,55219.08397,47,159
3,18,자봉마을,0:46,48,54257.25191,46.1,164
3,19,효자고개,0:49,49,56287.78626,48,182
3,20,진우아파트,0:51,51,57463.35878,49.1,211
3,21,삼가역,0:51,49,56074.0458,47.8,202
3,22,용인대,0:53,52,58532.06107,50.1,239
3,23,동원로알듀크,0:57,54,58638.9313,50.2,230
3,24,이마트.상공회의소,0:58,52,59814.50382,51.3,244
3,25,역북동행정복지센터,0:58,54,60455.72519,51.9,238
3,26,명지대,1:00,52,60028.24427,51.5,256
